title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
Demoniaca: Everlasting Night,PlayStation 5,EastAsiaSoft,"['Action', 'Action Adventure', 'Platformer', 'Open-World', 'Metroidvania']",M,"Jan 12, 2022",,0,No score yet,0,3,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2022-01-12
Desert Journey,PlayStation 5,Klovako s. r. o.,"['Action', 'General']",E,"Aug 28, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-08-28
Destiny 2,PlayStation 5,Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",T,"Dec  8, 2020",,0,No score yet,0,1,0,4.4,Generally unfavorable reviews,8.0,1.0,12.0,44.0,2020-12-08
Destiny 2: Beyond Light,PlayStation 5,"Bungie Software, Bungie","['Action', 'Shooter', 'First-Person', 'Arcade']",,"Nov 10, 2020",,77,Generally favorable reviews,4,1,0,6.0,Mixed or average reviews,16.0,5.0,10.0,60.0,2020-11-10
Destiny 2: Lightfall,PlayStation 5,Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",,"Feb 28, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-02-28
Destiny 2: The Witch Queen,PlayStation 5,Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",T,"Feb 22, 2022",,87,Generally favorable reviews,17,0,0,8.0,Generally favorable reviews,114.0,11.0,22.0,80.0,2022-02-22
Destroy All Humans! 2 - Reprobed,PlayStation 5,Black Forest Games,"['Action Adventure', 'General', 'Open-World']",T,"Aug 30, 2022",,67,Mixed or average reviews,14,23,2,7.7,Generally favorable reviews,17.0,2.0,4.0,77.0,2022-08-30
Destruction AllStars,PlayStation 5,Lucid,"['Simulation', 'Vehicle', 'Combat']",T,"Feb  2, 2021",,62,Mixed or average reviews,11,40,4,5.0,Mixed or average reviews,238.0,81.0,288.0,50.0,2021-02-02
Devastator,PlayStation 5,2Awesome Studio,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E,"Mar 25, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-03-25
Devil May Cry 5: Special Edition,PlayStation 5,Capcom,"['Action Adventure', 'General']",M,"Nov 12, 2020",,89,Generally favorable reviews,34,0,0,8.4,Generally favorable reviews,280.0,34.0,32.0,84.0,2020-11-12
Diablo II: Resurrected,PlayStation 5,Blizzard Entertainment,"['Role-Playing', 'Action RPG']",M,"Sep 23, 2021",,81,Generally favorable reviews,20,2,0,4.0,Generally unfavorable reviews,99.0,20.0,177.0,40.0,2021-09-23
Diablo IV,PlayStation 5,Blizzard Entertainment,"['Role-Playing', 'Action RPG']",M,"Jun  6, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-06-06
Diablo Prime Evil Collection,PlayStation 5,Blizzard Entertainment,"['Miscellaneous', 'Compilation']",M,"Sep 23, 2021",,0,No score yet,0,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2021-09-23
Dicey Dungeons,PlayStation 5,Terry Cavanagh,"['Strategy', 'General']",T,"Feb  6, 2023",,0,No score yet,1,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2023-02-06
DIRT 5,PlayStation 5,Codemasters,"['Racing', 'Simulation', 'Automobile']",E,"Nov 12, 2020",,80,Generally favorable reviews,10,1,0,5.7,Mixed or average reviews,49.0,60.0,43.0,57.0,2020-11-12
Dirt Journey,PlayStation 5,Klovako s. r. o.,"['Action', 'General']",E,"Sep 23, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-09-23
Disciples: Liberation,PlayStation 5,Frima Studio,"['Strategy', 'Turn-Based', 'General']",M,"Oct 21, 2021",,0,No score yet,1,2,0,6.2,Mixed or average reviews,10.0,3.0,7.0,62.0,2021-10-21
Disciples: Liberation - Paths to Madness,PlayStation 5,Frima Studio,"['Strategy', 'Turn-Based', 'General']",M,"Mar 24, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-03-24
Disco Elysium: The Final Cut,PlayStation 5,ZA/UM,"['Role-Playing', 'General', 'Western-Style']",M,"Mar 30, 2021",,89,Generally favorable reviews,29,1,0,7.9,Generally favorable reviews,125.0,16.0,25.0,79.0,2021-03-30
Disgaea 6 Complete,PlayStation 5,Nippon Ichi Software,"['Strategy', 'Turn-Based', 'Tactics']",T,"Jun 28, 2022",,68,Mixed or average reviews,5,8,0,5.0,Mixed or average reviews,1.0,1.0,2.0,50.0,2022-06-28
Disney/Pixar Toy Story 3,PlayStation 5,Asobo Studio,"['Action', 'Platformer', '3D']",E,"Sep 21, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-09-21
Disney/Pixar's Toy Story 2: Buzz Lightyear to the Rescue!,PlayStation 5,Traveller's Tales,"['Action', 'Platformer', '3D']",E,"Jun 13, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-06-13
Divination,PlayStation 5,Mojiken Studio,"['Strategy', 'Adventure', 'General', 'Visual Novel']",M,"May 18, 2022",,0,No score yet,1,0,1,0.0,No user score yet,1.0,0.0,0.0,0.0,2022-05-18
Divine Knockout,PlayStation 5,Red Beard Games,"['Action', 'Fighting', '3D']",E10+,"Dec  6, 2022",,0,No score yet,0,2,0,5.0,Mixed or average reviews,1.0,2.0,2.0,50.0,2022-12-06
DNF Duel,PlayStation 5,"Arc System Works, Eighting","['Action', 'Fighting', '2D']",T,"Jun 28, 2022",,80,Generally favorable reviews,17,1,0,6.6,Mixed or average reviews,8.0,1.0,4.0,66.0,2022-06-28
Do Not Open,PlayStation 5,"Quasar Dynamics, NOX NOCTIS","['Action Adventure', 'Survival']",T,"Nov 30, 2022",,0,No score yet,0,1,1,0.0,No user score yet,0.0,1.0,1.0,0.0,2022-11-30
Dodge the Ball,PlayStation 5,Webnetic s. r. o.,"['General', 'Action', 'Arcade']",E,"Feb  4, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-02-04
Dojoran,PlayStation 5,"Ratalaika Games, Nautlander Studio","['Action', 'Platformer', '2D']",E10+,"Sep 17, 2021",,0,No score yet,1,1,0,0.0,No user score yet,1.0,1.0,0.0,0.0,2021-09-17
